"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-.",,"159,00",M2,"5,30","520,45","842,70","38,24%"
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-.",,"127,00",M2,"4,98","425,48","633,00","32,78%"
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-.",,"53,00",M2,"5,66","175,20","300,00","41,60%"
2011044-0VINIL UNITRAMA ONE WAY VISION (NO2310T) PERFURADO C/ 1.06mt-.,,"53,00",M2,"12,00","369,02","636,00","41,98%"
2011024-0VINIL UNITRAMA ONE WAY VISION (NO2310T) PERFURADO C/ 1.37mt-.,,"68,50",M2,"12,50","490,04","856,25","42,77%"
,Total :,"460,50",,"7,10","1.980,19","3.267,95","39,41%"
2003.2053,ACM | SIGNBOND 1.22,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013219-0ACM SIGNBOND AMARELO ALTO BRILHO 3mm 1.22 x 5.00mt T8821-.,,"2,00",UN,"390,00","508,44","780,00","34,82%"
,Total :,"2,00",,"390,00","508,44","780,00","34,82%"
2020.2016,CHAPA PVC | UNIPOL,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-.,,"2,00",UN,"180,00","211,05","360,00","41,38%"
,Total :,"2,00",,"180,00","211,05","360,00","41,38%"
,TOTAL CIDADE:,"1.220,50",,,"6.728,00","11.286,05","40,39%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,04/12/2025 12:34,,h,Página :,0007/,68
PB,CABEDELO,,,,,,
10.1,CARTUCHO DE TONER | HP,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
3953-0,CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K CHMT(CX C/25)-.,"3,00",PC,"33,33","55,35","100,00","44,65%"
3997-0,CART. DE TONER COMP. COM PM CF279A 1K EVOLUT-.,"1,00",PC,"35,00","16,74","35,00","52,17%"
3078-0,"CART. DE TONER COMP. COM PM CF283A M125/M126/M127/M128 1,5K CHMT(CX C/25)-.","1,00",PC,"35,00","18,45","35,00","47,29%"
,Total :,"5,00",,"34,00","90,54","170,00","46,74%"
10.113,CARTUCHO DE TONER | BROTHER,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
3165-0,CART. DE TONER COMP. COM BROTHER TN1000/35/40/60/70/75 PTC (CX C/20)-.,"6,00",PC,"25,00","62,40","150,00","58,40%"
4069-0,CART. DE TONER COMP. COM BROTHER TN760 CHMT-.,"3,00",PC,"50,00","55,35","150,00","63,10%"
,Total :,"9,00",,"33,33","117,75","300,00","60,75%"
19.236,TINTA | INKBANK,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
